campaign_id,campaign_type,target_audience,duration,platform,impressions,clicks,leads,conversions,revenue,ad_spend,roi,language,engagement_score,customer_segment,date,ctr,cpc,cpa,roas
NY-CMP-1000,Social Media,College Students,21,"WhatsApp, YouTube",57804,6156,3616,2355,1867515,111.03,6.14,Hindi,20.98,College Students,29-04-2025,0.10649782022005398,0.01803606237816764,0.047146496815286626,16819.913536881922
NY-CMP-1001,Paid Ads,Tier 2 City Customers,18,YouTube,91801,3321,1971,1357,1046247,180.83,3.26,Hindi,7.24,College Students,06-04-2025,0.03617607651332774,0.054450466726889496,0.13325718496683864,5785.8043466239005
NY-CMP-1002,Influencer,Youth,23,"WhatsApp, Google, YouTube",15536,2182,952,755,197055,90.6,1.88,English,25.03,College Students,14-01-2025,0.14044799176107106,0.04152153987167736,0.12,2175.0
NY-CMP-1003,Email,Working Women,18,"YouTube, Facebook, Instagram",88114,8413,2231,947,376906,249.07,0.6,Hindi,13.15,College Students,04-06-2025,0.09547858456090973,0.02960537263758469,0.2630095036958817,1513.2533022844984
NY-CMP-1004,Paid Ads,College Students,10,"Facebook, Instagram",96871,3743,2060,1258,518296,228.6,0.8,Hindi,7.29,Tier 2 City Customers,29-12-2024,0.038639014772222854,0.061074004808976755,0.18171701112877583,2267.2615923009625
NY-CMP-1005,Influencer,Youth,26,"Email, Instagram",83919,7497,2061,1555,877020,137.79,3.09,Hindi,13.24,Premium Shoppers,23-09-2024,0.08933614556894148,0.018379351740696277,0.08861093247588424,6364.903113433486
NY-CMP-1006,Paid Ads,College Students,21,"YouTube, Google, WhatsApp",82267,5534,1873,1386,633402,210.17,1.17,Tamil,10.69,Youth,01-09-2024,0.06726877119622691,0.03797795446331767,0.15163780663780663,3013.760289289623
NY-CMP-1007,Social Media,Working Women,6,"Instagram, WhatsApp, Google",32482,2665,1488,925,326525,147.29,1.4,Hindi,15.63,Tier 2 City Customers,31-05-2025,0.08204544055169016,0.05526829268292682,0.15923243243243243,2216.8850566908823
NY-CMP-1008,Influencer,Premium Shoppers,27,"Facebook, WhatsApp, Email",73813,8680,5031,2551,1058665,87.74,3.73,Hindi,22.03,Tier 2 City Customers,24-03-2025,0.11759446168019183,0.010108294930875575,0.03439435515484124,12065.93343970823
NY-CMP-1009,Social Media,College Students,11,Email,88895,6284,1600,858,603174,269.82,1.61,Hindi,9.83,Youth,29-04-2025,0.07069014005287136,0.042937619350732016,0.31447552447552446,2235.4680898376696
